"gene_name","de_novo_junctions","strand","paste_into_igv_junction","delta075025","delta025021","delta021018","delta018012","delta012000","max_slope","percentile","color_gene_name","name","value","alpha_gene_name"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.0511,8,"low_slope","no_dox",0.0405,"1"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.0511,8,"low_slope","dox_0125",0.047,"1"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.0511,8,"low_slope","dox_0187",0.0462,"1"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.0511,8,"low_slope","dox_021",0.0478,"1"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.0511,8,"low_slope","dox_025",0.049,"1"
"C1orf112",1,"+","chr1:169850567-169851816",0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.0511,8,"low_slope","dox_075",0.1001,"1"
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,0.0978,46,"low_slope","no_dox",0.0397,"1"
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,0.0978,46,"low_slope","dox_0125",0.0964,"1"
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,0.0978,46,"low_slope","dox_0187",0.0194,"1"
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,0.0978,46,"low_slope","dox_021",0.039,"1"
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,0.0978,46,"low_slope","dox_025",0.0747,"1"
"STPG1",0,"-","chr1:24384003-24401319",0.0978,0.0357,0.0196,-0.077,0.0567,0.0978,46,"low_slope","dox_075",0.1725,"1"
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,0.0752,26,"low_slope","no_dox",0.0399,"1"
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,0.0752,26,"low_slope","dox_0125",0.046,"1"
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,0.0752,26,"low_slope","dox_0187",0.0095,"1"
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,0.0752,26,"low_slope","dox_021",0.0744,"1"
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,0.0752,26,"low_slope","dox_025",0.0425,"1"
"STPG1",0,"-","chr1:24391679-24391924",0.0752,-0.0319,0.0649,-0.0365,0.0061,0.0752,26,"low_slope","dox_075",0.1177,"1"
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,0.0647,16,"low_slope","no_dox",0.0191,"1"
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,0.0647,16,"low_slope","dox_0125",0.0627,"1"
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,0.0647,16,"low_slope","dox_0187",0.0859,"1"
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,0.0647,16,"low_slope","dox_021",0.1215,"1"
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,0.0647,16,"low_slope","dox_025",0.0393,"1"
