"gene_name","de_novo_junctions","strand","paste_into_igv_junction","no_dox","dox_0125","dox_0187","dox_021","dox_025","dox_075","delta075025","delta025021","delta021018","delta018012","delta012000","delta075025normal","delta025021normal","delta021018normal","delta018012normal","delta012000normal","max_slope","percentile","color_gene_name","name","value","alpha_gene_name"
"C1orf112",1,"+","chr1:169850567-169851816",0.0405,0.047,0.0462,0.0478,0.049,0.1001,0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.85738255033557,0.0201342281879194,0.0268456375838927,-0.0134228187919463,0.109060402684564,0.85738255033557,67,"mid_slope","no_doxnormal",0,"2"
"C1orf112",1,"+","chr1:169850567-169851816",0.0405,0.047,0.0462,0.0478,0.049,0.1001,0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.85738255033557,0.0201342281879194,0.0268456375838927,-0.0134228187919463,0.109060402684564,0.85738255033557,67,"mid_slope","dox_0125normal",0.109060402684564,"2"
"C1orf112",1,"+","chr1:169850567-169851816",0.0405,0.047,0.0462,0.0478,0.049,0.1001,0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.85738255033557,0.0201342281879194,0.0268456375838927,-0.0134228187919463,0.109060402684564,0.85738255033557,67,"mid_slope","dox_0187normal",0.0956375838926174,"2"
"C1orf112",1,"+","chr1:169850567-169851816",0.0405,0.047,0.0462,0.0478,0.049,0.1001,0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.85738255033557,0.0201342281879194,0.0268456375838927,-0.0134228187919463,0.109060402684564,0.85738255033557,67,"mid_slope","dox_021normal",0.12248322147651,"2"
"C1orf112",1,"+","chr1:169850567-169851816",0.0405,0.047,0.0462,0.0478,0.049,0.1001,0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.85738255033557,0.0201342281879194,0.0268456375838927,-0.0134228187919463,0.109060402684564,0.85738255033557,67,"mid_slope","dox_025normal",0.14261744966443,"2"
"C1orf112",1,"+","chr1:169850567-169851816",0.0405,0.047,0.0462,0.0478,0.049,0.1001,0.0511,0.0012,0.0016,-0.000800000000000002,0.0065,0.85738255033557,0.0201342281879194,0.0268456375838927,-0.0134228187919463,0.109060402684564,0.85738255033557,67,"mid_slope","dox_075normal",1,"2"
"CELSR3",1,"-","chr3:48649718-48650267",0.0478,0.0501,0.0961,0.0894,0.1249,0.1304,0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,0.0665859564164646,0.429782082324455,-0.0811138014527847,0.556900726392252,0.0278450363196126,0.556900726392252,34,"mid_slope","no_doxnormal",0,"2"
"CELSR3",1,"-","chr3:48649718-48650267",0.0478,0.0501,0.0961,0.0894,0.1249,0.1304,0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,0.0665859564164646,0.429782082324455,-0.0811138014527847,0.556900726392252,0.0278450363196126,0.556900726392252,34,"mid_slope","dox_0125normal",0.0278450363196126,"2"
"CELSR3",1,"-","chr3:48649718-48650267",0.0478,0.0501,0.0961,0.0894,0.1249,0.1304,0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,0.0665859564164646,0.429782082324455,-0.0811138014527847,0.556900726392252,0.0278450363196126,0.556900726392252,34,"mid_slope","dox_0187normal",0.584745762711865,"2"
"CELSR3",1,"-","chr3:48649718-48650267",0.0478,0.0501,0.0961,0.0894,0.1249,0.1304,0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,0.0665859564164646,0.429782082324455,-0.0811138014527847,0.556900726392252,0.0278450363196126,0.556900726392252,34,"mid_slope","dox_021normal",0.50363196125908,"2"
"CELSR3",1,"-","chr3:48649718-48650267",0.0478,0.0501,0.0961,0.0894,0.1249,0.1304,0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,0.0665859564164646,0.429782082324455,-0.0811138014527847,0.556900726392252,0.0278450363196126,0.556900726392252,34,"mid_slope","dox_025normal",0.933414043583535,"2"
"CELSR3",1,"-","chr3:48649718-48650267",0.0478,0.0501,0.0961,0.0894,0.1249,0.1304,0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,0.0665859564164646,0.429782082324455,-0.0811138014527847,0.556900726392252,0.0278450363196126,0.556900726392252,34,"mid_slope","dox_075normal",1,"2"
"CELSR3",1,"-","chr3:48650290-48650479",0.0136,0.021,0.0689,0.0681,0.112,0.1195,0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,0.0708215297450424,0.414542020774316,-0.00755429650613804,0.452313503305005,0.0698772426817753,0.452313503305005,18,"mid_slope","no_doxnormal",0,"2"
"CELSR3",1,"-","chr3:48650290-48650479",0.0136,0.021,0.0689,0.0681,0.112,0.1195,0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,0.0708215297450424,0.414542020774316,-0.00755429650613804,0.452313503305005,0.0698772426817753,0.452313503305005,18,"mid_slope","dox_0125normal",0.0698772426817753,"2"
"CELSR3",1,"-","chr3:48650290-48650479",0.0136,0.021,0.0689,0.0681,0.112,0.1195,0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,0.0708215297450424,0.414542020774316,-0.00755429650613804,0.452313503305005,0.0698772426817753,0.452313503305005,18,"mid_slope","dox_0187normal",0.52219074598678,"2"
"CELSR3",1,"-","chr3:48650290-48650479",0.0136,0.021,0.0689,0.0681,0.112,0.1195,0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,0.0708215297450424,0.414542020774316,-0.00755429650613804,0.452313503305005,0.0698772426817753,0.452313503305005,18,"mid_slope","dox_021normal",0.514636449480642,"2"
"CELSR3",1,"-","chr3:48650290-48650479",0.0136,0.021,0.0689,0.0681,0.112,0.1195,0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,0.0708215297450424,0.414542020774316,-0.00755429650613804,0.452313503305005,0.0698772426817753,0.452313503305005,18,"mid_slope","dox_025normal",0.929178470254958,"2"
