gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,noDox_mean_psi,dox0021_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
SCYL3,ENSG00000000457.14,ENSG00000000457.14:t:169862562-169862797,-0.0543;-0.0301;0.1169;-0.0043,2.206e-01;5.576e-02;5.333e-01;1.086e-01,2.124e-01;4.401e-01;4.855e-02;3.474e-01,0.1151;0.0740;0.5906;0.2037,0.0358;0.0026;0.7563;0.1914,t|1e2.1o1|1e3.1o2|1e3.2o2|2e1.1o1,4,4,1;1;0;1,chr1,-,169862797-169866896;169862797-169864458;169862797-169864369;169862761-169871399,169862562-169862797;169864369-169864508;169866896-169866973;169871399-na,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A169871409-169862562
KRIT1,ENSG00000001631.16,ENSG00000001631.16:t:92244902-92245171,0.2475;-0.0000;-0.0061;-0.0777;-0.1109;0.0093;0.0099;-0.0149,9.834e-01;1.764e-04;4.170e-03;3.739e-01;5.719e-01;8.283e-03;8.831e-03;4.814e-02,2.025e-04;9.485e-01;7.928e-01;1.042e-01;5.301e-02;7.035e-01;6.950e-01;4.859e-01,0.0335;0.0194;0.0304;0.6481;0.1402;0.0151;0.0144;0.0866,0.2953;0.0123;0.0014;0.5313;0.0014;0.0444;0.0512;0.0638,t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o2|1e4.2o2|2e1.1o1|2e4.1o2,8,5,0;0;0;0;0;0;0;0,chr7,-,92245171-92245906;92245171-92245844;92245171-92245822;92245171-92245790;92245171-92245465;92245171-92245427;92245134-92245906;92245134-92245465,92244902-92245171;92245427-92245676;92245790-92245795;92245822-92245871;92245906-92246166,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A92246166-92244902
KLHL13,ENSG00000003096.14,ENSG00000003096.14:s:117972731-117973738,-0.0853;-0.0002;0.0000;0.1024,4.112e-01;2.241e-07;6.899e-21;5.339e-01,1.047e-01;9.897e-01;1.000e+00;6.505e-02,0.1907;0.0220;0.0043;0.7831,0.0898;0.0048;0.0048;0.8989,s|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1,4,4,0;1;1;0,chrX,-,117945575-117973310;117971689-117972731;117969241-117972731;117945575-117972731,na-117971689;117945434-117947942;117969196-117969241;117972731-117973738,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A117973738-117945434
KLHL13,ENSG00000003096.14,ENSG00000003096.14:s:118028424-118028497,0.1380;-0.0843;-0.0091,7.377e-01;4.155e-01;3.365e-03,2.203e-02;1.029e-01;7.407e-01,0.0615;0.8965;0.0475,0.2117;0.7864;0.0020,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chrX,-,117983545-118028424;117945575-118028424;117920370-118028424,117920238-117920370;117945434-117947942;117983480-117983545;118028424-118028497,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A118028497-117920238
KLHL13,ENSG00000003096.14,ENSG00000003096.14:t:118028424-118028497,-0.0000;0.1722;-0.1713,2.110e-07;7.887e-01;7.864e-01,9.996e-01;1.397e-02;1.423e-02,0.0032;0.6451;0.3516,0.0023;0.8386;0.1590,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chrX,-,118028497-118117277;118028497-118116508;118028497-118028936,118028424-118028497;118028936-118029098;118116508-118116865;118117277-118117340,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A118117340-118028424
MTMR7,ENSG00000003987.14,ENSG00000003987.14:s:17341363-17341497,0.0000;0.1279;-0.1292,5.911e-05;5.445e-01;5.505e-01,9.895e-01;3.991e-02;3.898e-02,0.0054;0.6534;0.3415,0.0060;0.8192;0.1751,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chr8,-,17338991-17341363;17331282-17341363;17313401-17341363,17313292-17313401;17331150-17331282;17338730-17338991;17341363-17341497,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17341497-17313292
MTMR7,ENSG00000003987.14,ENSG00000003987.14:t:17313292-17313401,-0.1079;0.1079,5.066e-01;5.066e-01,5.757e-02;5.757e-02,0.2894;0.7106,0.1508;0.8492,t|1e1.1o1|1e2.1o1,2,3,1;0,chr8,-,17313401-17341363;17313401-17331150,17313292-17313401;17331150-17331282;17341363-17341497,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17341497-17313292
PLXND1,ENSG00000004399.13,ENSG00000004399.13:t:129569189-129569957,-0.0287;0.1663;-0.0820;-0.0052,8.950e-02;7.512e-01;3.754e-01;3.825e-02,3.823e-01;1.698e-02;1.208e-01;5.208e-01,0.0718;0.7136;0.1260;0.0797,0.0044;0.9181;0.0044;0.0723,t|1e1.1o2|1e1.2o2|1e2.1o1|i,4,3,1;0;1;1,chr3,-,129569957-129570879;129569957-129570786;129569957-129570590;129569958-129570589,129569189-129569957;129570590-129570671;129570684-129570935,129569958-129570589,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A129570935-129569189
AK2,ENSG00000004455.17,ENSG00000004455.17:s:33013044-33013402,0.0000;0.0000;-0.0019;0.1605;-0.1291,6.536e-21;6.536e-21;9.115e-10;9.097e-01;7.465e-01,1.000e+00;1.000e+00;9.205e-01;3.243e-03;1.335e-02,0.0002;0.0063;0.0389;0.6518;0.3039,0.0002;0.0012;0.0112;0.8112;0.1744,s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|i,5,3,1;1;0;0;0,chr1,-,33012341-33013207;33012142-33013207;33012122-33013207;33010833-33013207;33012358-33013043,33007940-33010833;33012074-33012357;33013044-33013402,33012358-33013043,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
AK2,ENSG00000004455.17,ENSG00000004455.17:t:33007940-33010833,0.1491;-0.0046;0.0000;-0.1257,8.730e-01;1.032e-08;6.536e-21;7.326e-01,2.560e-03;8.360e-01;1.000e+00;1.377e-02,0.6868;0.0432;0.0003;0.2697,0.8376;0.0181;0.0003;0.1420,t|1e1.1o1|1e2.1o1|1e3.1o1|i,4,4,0;0;0;0,chr1,-,33010833-33013207;33010833-33012074;33010833-33011448;33010834-33011447,33007940-33010833;33011448-33011710;33012074-33012357;33013044-33013402,33010834-33011447,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
