# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/noDox-dox0075.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/noDox-dox0075.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "dox0075": 3,
#         "noDox": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	noDox_mean_psi	dox0075_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
STPG1	ENSG00000001460.18	ENSG00000001460.18:t:24383867-24384003	0.1061;-0.1061	5.164e-01;5.164e-01	6.697e-02;6.697e-02	0.0397;0.9603	0.1725;0.8275	t|1e1.1o1|1e2.1o1	2	3	0;0	chr1	-	24384003-24401319;24384003-24391561	24383867-24384003;24391203-24391679;24401079-24401456		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A24401456-24383867
ICA1	ENSG00000003147.19	ENSG00000003147.19:t:8235910-8236005	0.1797;-0.0000;-0.1052;-0.0517;-0.0021;0.0000;0.0000;0.0279;0.0000;-0.0191;-0.0000;0.0000	9.339e-01;7.205e-21;5.342e-01;6.276e-02;6.109e-06;7.205e-21;7.205e-21;1.416e-05;7.205e-21;1.356e-02;7.206e-21;7.205e-21	1.512e-03;1.000e+00;6.565e-02;3.846e-01;9.219e-01;1.000e+00;1.000e+00;5.648e-01;1.000e+00;5.912e-01;9.999e-01;1.000e+00	0.3128;0.0027;0.4343;0.0804;0.0328;0.0002;0.0002;0.0133;0.0002;0.1035;0.0103;0.0002	0.4999;0.0061;0.3202;0.0255;0.0094;0.0011;0.0001;0.0577;0.0093;0.0675;0.0032;0.0030	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|2e1.2o2|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o1	12	7	0;1;0;0;1;0;0;0;1;1;0;1	chr7	-	8236005-8262440;8236005-8262327;8236005-8262094;8236005-8262000;8236005-8261637;8236005-8236810;8236005-8236806;8235940-8262440;8235940-8262327;8235940-8262094;8235940-8262000;8235940-8261637	8235910-8236005;8236806-8236894;8261637-8261651;8262000-8262089;8262094-8262273;8262327-8262405;8262440-8262687		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8262687-8235910
NDUFAF7	ENSG00000003509.16	ENSG00000003509.16:s:37241578-37241791	-0.0511;-0.0412;0.1123;-0.0016	2.242e-01;2.022e-01;5.512e-01;1.702e-04	2.114e-01;2.294e-01;5.733e-02;9.213e-01	0.1250;0.2774;0.5767;0.0283	0.0728;0.1991;0.7208;0.0144	s|1e1.1o1|1e2.1o2|2e1.1o1|2e2.1o2	4	3	0;0;0;1	chr2	+	37241637-37242635;37241637-37243863;37241791-37242635;37241791-37243863	37241578-37241791;37242635-37242693;37243863-37243973		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A37243973-37241578
RBM5	ENSG00000003756.17	ENSG00000003756.17:s:50102337-50103166	0.1201;-0.0950;-0.0124	6.388e-01;4.569e-01;6.735e-03	3.996e-02;7.861e-02;6.414e-01	0.8240;0.1251;0.0540	0.9475;0.0168;0.0345	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	+	50103166-50104248;50103166-50105077;50103167-50104247	50102337-50103166;50104248-50104308;50104577-50105142	50103167-50104247	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50105142-50102337
AK2	ENSG00000004455.17	ENSG00000004455.17:s:33013044-33013402	0.0000;0.0000;-0.0020;0.1279;-0.0840	7.109e-21;7.109e-21;8.983e-10;7.246e-01;3.820e-01	1.000e+00;1.000e+00;9.210e-01;1.933e-02;1.201e-01	0.0002;0.0063;0.0389;0.6518;0.3039	0.0003;0.0036;0.0019;0.7831;0.2119	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|i	5	3	1;1;0;0;0	chr1	-	33012341-33013207;33012142-33013207;33012122-33013207;33010833-33013207;33012358-33013043	33007940-33010833;33012074-33012357;33013044-33013402	33012358-33013043	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A33013402-33007940
REXO5	ENSG00000005189.20	ENSG00000005189.20:s:20840331-20840468	0.2319;-0.2319	8.051e-01;8.051e-01	8.571e-03;8.571e-03	0.5369;0.4631	0.7981;0.2019	s|1e1.1o1|1e2.1o1	2	3	0;0	chr16	+	20840468-20843934;20840468-20844629	20840331-20840468;20843934-20844026;20844629-20844845		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20844845-20840331
REXO5	ENSG00000005189.20	ENSG00000005189.20:t:20806952-20807091	0.0001;0.2390;-0.2605;-0.0003;0.0108	1.675e-05;8.857e-01;9.492e-01;3.334e-05;5.050e-02	9.969e-01;4.984e-03;1.896e-03;9.823e-01;4.903e-01	0.0014;0.5730;0.3542;0.0094;0.0536	0.0038;0.8583;0.0734;0.0038;0.0656	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1	5	5	0;0;0;0;0	chr16	+	20806490-20806952;20806705-20806952;20806721-20806952;20806735-20806952;20806817-20806952	20806429-20806490;20806496-20806705;20806708-20806735;20806757-20806817;20806952-20807091		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20807091-20806429
REXO5	ENSG00000005189.20	ENSG00000005189.20:t:20844629-20844845	-0.1757;0.1757	7.404e-01;7.404e-01	1.775e-02;1.775e-02	0.3727;0.6273	0.1692;0.8308	t|1e1.1o1|1e2.1o1	2	3	0;0	chr16	+	20840468-20844629;20844026-20844629	20840331-20840468;20843934-20844026;20844629-20844845		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A20844845-20840331
SPPL2B	ENSG00000005206.17	ENSG00000005206.17:s:2340898-2342503	0.1732;-0.1732	7.767e-01;7.767e-01	1.651e-02;1.651e-02	0.3588;0.6412	0.5698;0.4302	s|1e1.1o1|i	2	2	0;1	chr19	+	2341014-2343211;2342504-2342721	2340898-2342503;2342722-2343292	2342504-2342721	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A2343292-2340898
SPPL2B	ENSG00000005206.17	ENSG00000005206.17:t:2338752-2338841	0.0019;0.2269;-0.0000;-0.2399	7.446e-04;9.190e-01;4.428e-09;9.460e-01	8.531e-01;3.729e-03;9.999e-01;2.147e-03	0.0196;0.4573;0.0019;0.5214	0.0297;0.7037;0.0015;0.2619	t|1e1.1o1|1e2.1o1|2e2.1o1|i	4	3	1;0;0;1	chr19	+	2334721-2338752;2337625-2338752;2337625-2338814;2338527-2338751	2334602-2334721;2337443-2337935;2338752-2338841	2338527-2338751	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A2338841-2334602
